,FECHA,COMERCIO/CAJERO,MOVIMIENTO A,IMPORTE
1,2024-02-29 00:00:00,EL MOMENTO,Crédito,-3.5
2,2024-02-29 00:00:00,PINCHO J,Crédito,-13.6
3,2024-02-29 00:00:00,HD GUANARTEME,Crédito,-23.06
4,2024-02-29 00:00:00,COM. USO REDES INTERNACION.,Crédito,-0.56
5,2024-02-29 00:00:00,CHATGPT SUBSCRIPTION,Crédito,-18.53
6,2024-03-01 00:00:00,HD PORTUGAL,Crédito,-2.64
7,2024-03-01 00:00:00,COMPRAVENTA 3B,Crédito,-3.0
8,2024-03-01 00:00:00,MEGA HOME,Crédito,-4.17
9,2024-03-01 00:00:00,PRIMOR MESA Y LOPEZ,Crédito,-5.37
10,2024-03-01 00:00:00,IRISH ROVER,Crédito,-8.0
11,2024-03-01 00:00:00,IRISH ROVER,Crédito,-8.0
12,2024-03-01 00:00:00,APERTURAS LLAVEBANK,Crédito,-16.0
13,2024-03-03 00:00:00,REST HERMANOS MALOW,Crédito,-4.5
14,2024-03-03 00:00:00,BAZAR PEDRO,Crédito,-5.8
15,2024-03-04 00:00:00,HD SANTA BRIGIDA,Crédito,-6.02
16,2024-03-05 00:00:00,HD PORTUGAL,Crédito,-3.51
17,2024-03-05 00:00:00,EL MOMENTO,Crédito,-3.6
18,2024-03-05 00:00:00,CRUNCH IB RICO,Crédito,-4.0
19,2024-03-05 00:00:00,LOS MILAGROS,Crédito,-6.3
20,2024-03-05 00:00:00,BAR SALMON,Crédito,-6.0
21,2024-03-06 00:00:00,EL MOMENTO,Crédito,-3.6
22,2024-03-06 00:00:00,LA CUCHARA SANA SCP,Crédito,-4.32
23,2024-03-06 00:00:00,DGT TASAS JEFATURAS 2,Crédito,-10.51
24,2024-03-06 00:00:00,B.C. LA EMINENCIA,Crédito,-13.2
25,2024-03-07 00:00:00,EL MOMENTO,Crédito,-1.1
26,2024-03-07 00:00:00,CHARCUTERIA VENEGAS,Crédito,-1.64
27,2024-03-07 00:00:00,HD PORTUGAL,Crédito,-5.12
28,2024-03-07 00:00:00,LA CUCHARA SANA SCP,Crédito,-5.9
29,2024-03-08 00:00:00,AREAS REDONDEO S0LIDARIO,Crédito,-0.2
30,2024-03-08 00:00:00,HD PORTUGAL,Crédito,-1.82
31,2024-03-08 00:00:00,HD PORTUGAL,Crédito,-3.17
32,2024-03-08 00:00:00,GRUPO BHP 2020,Crédito,-3.76
33,2024-03-08 00:00:00,CRUNCH IB RICO,Crédito,-4.3
34,2024-03-08 00:00:00,MERCADONA REPUBLICA DOMIN,Crédito,-6.25
35,2024-03-08 00:00:00,LA SUERTE DE GUANARTEME,Crédito,-6.3
36,2024-03-08 00:00:00,PLAYA PADRE,Crédito,-8.3
37,2024-03-08 00:00:00,DAHIMON PELUQUERIA Y ESTE,Crédito,-10.0
38,2024-03-08 00:00:00,LOS MILAGROS,Crédito,-17.15
39,2024-03-09 00:00:00,METRO BARCELONA,Crédito,-5.5
40,2024-03-09 00:00:00,METRO BARCELONA,Crédito,-5.5
41,2024-03-09 00:00:00,NEWREST TRAVEL RETAIL- VU,Crédito,-11.0
42,2024-03-09 00:00:00,IATI SEGUROS,Crédito,-106.31
43,2024-03-09 00:00:00,CAJERO CASHZONE   OF.2393,Débito,-200.0
44,2024-03-12 00:00:00,BKG*HOTEL AT BOOKING.C,Crédito,-8.46
45,2024-03-13 00:00:00,ANUL. BKG*HOTEL AT BOOKING.,Crédito,8.46
46,2024-03-14 00:00:00,AGODA.COM FLOWER BUD,Crédito,-18.41
47,2024-03-19 00:00:00,Hotel at Booking.com,Crédito,-32.87
48,2024-03-21 00:00:00,Hotel at Booking.com,Crédito,-32.89
49,2024-03-23 00:00:00,PAYPAL *GOOGLE GOOGLE,Crédito,-1.99
50,2024-03-26 00:00:00,BKG*HOTEL AT BOOKING.C,Crédito,-20.55
51,Total Crédito,,,-487.82
